id,split,V,A,D,text,fil_text_5
Black_and_white_4442_4590,train,2.89,2.78,2.89,"“That is to say, under the total absence of color, there is a vague reminiscence of all colors that have been “killed”","That is to say, under the total absence of color, there is a vague reminiscence of all colors that have been killed"
Black_and_white_4608_4684,train,3.3,3.1,3.0,Black and white are the consummation of all colors into one.,Black and white are the consummation of all colors into one.
Black_and_white_4684_4807,train,3.0,2.9,3.2,“Black is life; it is the infinite possibility of expression and development. Black here is not sheer black.,Black is life it is the infinite possibility of expression and development. Black here is not sheer black.
Black_and_white_4808_4894,train,3.22,2.67,3.22,"For in it’s negation of all colors, all colors are positively affirmed”","For in its negation of all colors, all colors are positively affirmed"
Black_and_white_4912_4992,train,3.1,3.1,3.0,It is through these means that one finds the essence in a thing.,It is through these means that one finds the essence in a thing.
Black_and_white_5005_5117,train,2.88,3.0,3.0,"In Western society, this purging of color began with the rejection of ideals of generations past.","In Western society, this purging of color began with the rejection of ideals of generations past."
Black_and_white_5118_5210,train,2.8,3.1,3.0,Eliminating color was a way of eliminating the decadence of the 18th century.,Eliminating color was a way of eliminating the decadence of the 18th century.
Black_and_white_5211_5306,train,3.09,2.82,3.09,"Society turned to minimalism as a way of cleansing life, representing modernity.","Society turned to minimalism as a way of cleansing life, representing modernity."
Black_and_white_5307_5447,train,2.8,3.0,3.0,"color became a moral issue, seen as something sensuous and dangerous in its secondary nature to the essence of life and form.","color became a moral issue, seen as something sensuous and dangerous in its secondary nature to the essence of life and form."
Black_and_white_543_683,dev,2.56,3.0,3.11,"color is seen as corrupting, intoxicating, disorienting and in art, has come to be associated with the vulgar and the kitsch.","color is seen as corrupting, intoxicating, disorienting and in art, has come to be associated with the vulgar and the kitsch."
Black_and_white_5448_5692,test,2.89,2.89,3.33,"“The predominance of color at the expense of drawing is a usurpation of the relative over the absolute, of fleeting appearance over permanent form, of physical impression over the empire of the soul”","The predominance of color at the expense of drawing is a usurpation of the relative over the absolute, of fleeting appearance over permanent form, of physical impression over the empire of the soul"
Black_and_white_5715_5883,dev,2.8,3.0,3.1,"color rests on the surface of an object, it is superficial, cosmetic and therefore deceptive since it hides the true nature of that thing.","color rests on the surface of an object, it is superficial, cosmetic and therefore deceptive since it hides the true nature of that thing."
Black_and_white_5897_5942,train,2.71,2.71,3.0,color is associated with the Fall from Grace.,color is associated with the Fall from Grace.
Black_and_white_5943_6063,train,3.0,3.0,2.9,"It is something which speaks to the senses, not the mind, it is external and therefore secondary to life.","It is something which speaks to the senses, not the mind, it is external and therefore secondary to life."
Black_and_white_6064_6131,train,3.12,3.25,3.0,"It deals with the body, emotions, not the intellect.","It deals with the body, emotions, not the intellect."
Black_and_white_6132_6219,train,2.5,3.25,3.0,It strays from reason in the way which it consumes and manipulates life.,It strays from reason in the way which it consumes and manipulates life.
Black_and_white_6393_6693,dev,3.14,3.29,3.14,"For [Charles Blanc] color also represents a kind of ruination. color for him signifies the mythical savage state out of which civilization, the nobility of the human spirit, slowly, heroically, has lifted itself – but back into which it could always slide","For [NAME] color also represents a kind of ruination. color for him signifies the mythical savage state out of which civilization, the nobility of the human spirit, slowly, heroically, has lifted itself  but back into which it could always slide"
Black_and_white_6717_6897,dev,3.4,2.9,2.9,"It is a descent in the way it makes one lose consciousness and enter into the physical world of desire, and to desire is to lose control over oneself.","It is a descent in the way it makes one lose consciousness and enter into the physical world of desire, and to desire is to lose control over oneself."
Black_and_white_684_896,train,3.0,3.1,3.1,We went from times of celebrating color and decoration to one of minimalism where black and white were placed at the front as representations of modernity and ultimate transcendence.,We went from times of celebrating color and decoration to one of minimalism where black and white were placed at the front as representations of modernity and ultimate transcendence.
Black_and_white_6898_6942,dev,3.0,2.7,3.0,"Thus, began the cult of the black and white.","Thus, began the cult of the black and white."
Black_and_white_6956_7122,train,3.2,2.5,2.9,"White is seen as representing spirituality, the heavens, and light, it is all which is modern, it signifies the opposite of the carnal nature of color.","White is seen as representing spirituality, the heavens, and light, it is all which is modern, it signifies the opposite of the carnal nature of color."
Black_and_white_7123_7211,train,3.29,3.14,3.43,"It is the control of nature, and the body and represents the modern man.","It is the control of nature, and the body and represents the modern man."
Black_and_white_7223_7327,train,3.3,2.8,3.2,"“WHITE is the spiritual color of our times, the clearness which directs all out actions.","WHITE is the spiritual color of our times, the clearness which directs all out actions."
Black_and_white_7328_7386,test,3.0,2.78,3.0,"It is neither grey white, nor vory white, but pure white.","It is neither [NAME], nor vory white, but pure white."
Black_and_white_7399_7531,train,2.9,2.9,3.1,"WHITE is the color of modern times, the color which dissipates a whole era; our era is perfection, purity, certitude.","WHITE is the color of modern times, the color which dissipates a whole era our era is perfection, purity, certitude."
Black_and_white_7585_7779,test,3.2,3.0,3.5,"We have superceded both the ‘brown’ of decadence and classiscm and the ‘blue’ of divisionism, the cult of the blue ky, the gods with green beards and the spectrum.","We have superceded both the brown of decadence and classiscm and the blue of divisionism, the cult of the blue ky, the gods with green beards and the spectrum."
Black_and_white_7791_7809,test,2.88,3.12,3.0,WHITE pure white.,WHITE pure white.
Black_and_white_7845_7950,test,3.1,2.9,3.1,For these reasons black and white have been placed at the top of the hierarchy of colors.,For these reasons black and white have been placed at the top of the hierarchy of colors.
Black_and_white_7951_7992,train,2.7,2.6,2.9,Abolishing color means controlling color.,Abolishing color means controlling color.
Black_and_white_7993_8071,train,3.12,3.12,3.25,"“The white surface exposes color, presents it for disciplining.","The white surface exposes color, presents it for disciplining."
Black_and_white_8072_8117,train,3.0,3.0,3.1,It keeps an eye on all the objects it frames.,It keeps an eye on all the objects it frames.
Black_and_white_8133_8271,train,3.0,3.1,3.1,"But before that, it keeps an eye on itself, watching its freshly laundered and neatly folded fabric for the stain of color”","But before that, it keeps an eye on itself, watching its freshly laundered and neatly folded fabric for the stain of color"
Black_and_white_8287_8384,train,2.8,2.9,3.4,"colorlessness is not natural, and thus proves man’s superiority over this world.","colorlessness is not natural, and thus proves mans superiority over this world."
Black_and_white_8397_8470,train,3.11,3.11,3.22,"On the other hand, we need color in order to distinguish black and white.","On the other hand, we need color in order to distinguish black and white."
Black_and_white_8471_8631,train,2.88,3.12,3.37,"Just as those from the Far East, the purity of white implies what has been washed away and thus makes the white glitter even more.","Just as those from the Far East, the purity of white implies what has been washed away and thus makes the white glitter even more."
Black_and_white_8632_8738,train,3.0,2.55,2.91,"White and black stand out because of color, and color stand out because of white and black.","White and black stand out because of color, and color stand out because of white and black."
Black_and_white_8739_8826,train,3.0,3.2,3.1,"They are linked intrinsically together, one cannot go without the other.","They are linked intrinsically together, one cannot go without the other."
Black_and_white_8827_8859,train,3.0,2.5,3.0,“White is the setting for color.,White is the setting for color.
Black_and_white_8861_9081,train,3.1,3.0,3.3,"In a mosque for example, the architectonic effect of its white garment is assisted by a strategic use of color: “All these things are clothed in a majestic coat of whitewash.","In a mosque for example, the architectonic effect of its white garment is assisted by a strategic use of color All these things are clothed in a majestic coat of whitewash."
Black_and_white_9081_9179,train,3.1,2.9,3.0,The forms stand out clearly; the impeccable construction displays all its boldness.,The forms stand out clearly the impeccable construction displays all its boldness.
Black_and_white_910_1018,train,3.0,2.9,2.9,What is the significance for this preference for black and white when it comes to high art?,What is the significance for this preference for black and white when it comes to high art?
Black_and_white_9180_9255,train,3.2,3.0,3.0,At times a high stylobate of delightful ceramic produces a blue vibration.”,At times a high stylobate of delightful ceramic produces a blue vibration.
Black_and_white_9271_9371,train,3.0,2.82,3.09,The sensuous vibration of the color clarifies the white surface whose limit it marks”,The sensuous vibration of the color clarifies the white surface whose limit it marks
Black_and_white_9388_9543,train,2.9,3.0,2.9,"We need this opposition between color and ‘non-color’ to make distinction between the two, otherwise neither would hold such significance.","We need this opposition between color and noncolor to make distinction between the two, otherwise neither would hold such significance."
Black_and_white_94_203,train,3.1,2.6,3.0,Reaching Transcendence through the Elimination of color: The Ideal Minimalism of Black and White,Reaching Transcendence through the Elimination of color The Ideal Minimalism of Black and White
Black_and_white_9543_9648,train,3.1,2.7,3.0,"White helps to harmonize colors that would otherwise clash, it brings together and unites.","White helps to harmonize colors that would otherwise clash, it brings together and unites."
Black_and_white_9663_9706,train,2.6,2.9,2.9,“White expresses a certain incorporeality.,White expresses a certain incorporeality.
Black_and_white_9707_9798,dev,3.0,3.1,3.2,The use of white is therefore decisive for the bodily appearance of a space.,The use of white is therefore decisive for the bodily appearance of a space.
Black_and_white_9799_9893,train,2.88,2.75,3.12,Concrete bodies decrease the space more or less depending on their color value.,Concrete bodies decrease the space more or less depending on their color value.
Black_and_white_9894_10030,train,3.0,3.0,3.0,"Against white, one can actually establish the intensity of clashing colors; white determines the tone in the first place.","Against white, one can actually establish the intensity of clashing colors white determines the tone in the first place."
Fermentation_Eminent-Domain_10098_10200,train,2.62,3.38,3.12,"and how can the state legislature single out two counties (first Napa, now Sonoma) for this treatment?","and how can the state legislature single out two counties first Napa, now Sonoma for this treatment?"
Fermentation_Eminent-Domain_10201_10269,train,3.0,2.9,3.0,are they going to go through the wine-producing counties one by one?,are they going to go through the wineproducing counties one by one?
Fermentation_Eminent-Domain_10303_10323,train,3.0,2.9,2.8,JohnLopresti said...,JohnLopresti said
Fermentation_Eminent-Domain_10324_10456,train,2.89,2.89,3.0,vive la OIVV OIV_Wine_Labelling_Standard_EN_2006 re at Fredric K's BTYH website there is a review discussing MacRostie pinot noir.,vive la OIVV OIV_Wine_Labelling_Standard_EN_2006 re at [NAME] BTYH website there is a review discussing MacRostie pinot noir.
Fermentation_Eminent-Domain_10457_10613,train,3.0,2.88,2.88,"I had thought of the kiltman with respect to a new AVA in Yorkville highlands, thinking the Scot might have interest in playing the bagpipes in the uplands.","I had thought of the kiltman with respect to a new AVA in Yorkville highlands, thinking the [NAME] might have interest in playing the bagpipes in the uplands."
Fermentation_Eminent-Domain_10614_10745,train,3.0,3.0,3.0,"Then, at Steve's site there is an interesting discussion of his current ongoing efforts with blends from Carneros and Sonoma Coast.","Then, at Steves site there is an interesting discussion of his current ongoing efforts with blends from Carneros and Sonoma Coast."
Fermentation_Eminent-Domain_1064_1099,test,3.0,2.8,3.0,There are 13 AVAs in Sonoma County.,There are 13 AVAs in Sonoma County.
Fermentation_Eminent-Domain_10746_10824,train,3.0,2.8,3.0,"It's easy to get lost in nomenclatures, when one is striving for new concepts.","Its easy to get lost in nomenclatures, when one is striving for new concepts."
Fermentation_Eminent-Domain_10827_11013,test,2.86,2.86,3.14,"In a way, all this tries to approach terroir from a slight distance; plus the historical distinctions between the two premium distinctive varietal regions, Napa county and Sonoma county.","In a way, all this tries to approach terroir from a slight distance plus the historical distinctions between the two premium distinctive varietal regions, Napa county and Sonoma county."
Fermentation_Eminent-Domain_11014_11221,train,3.0,2.5,3.0,Winkler heat summation datapoints also clarified several decades ago some of the plant physiologic underpinnings of why Napa county and Sonoma county were the natural leaders in premium winegrape production.,Winkler heat summation datapoints also clarified several decades ago some of the plant physiologic underpinnings of why Napa county and Sonoma county were the natural leaders in premium winegrape production.
Fermentation_Eminent-Domain_1101_1310,train,2.8,2.8,3.1,"The problem, of course, is that by placing the words ""Sonoma County"" on a bottle of wine that is made with grapes grown in ""Russian River Valley"", ""Dry Creek Valley"", ""Sonoma Valley"" or any other AVA in Sonoma","The problem, of course, is that by placing the words Sonoma County on a bottle of wine that is made with grapes grown in Russian River Valley, Dry Creek Valley, Sonoma Valley or any other AVA in Sonoma"
Fermentation_Eminent-Domain_11222_11318,train,3.18,2.64,3.18,There are many reasons why the new labeling requirement makes sense from all these perspectives.,There are many reasons why the new labeling requirement makes sense from all these perspectives.
Fermentation_Eminent-Domain_11355_11375,train,3.0,3.0,3.0,JohnLopresti said...,JohnLopresti said
Fermentation_Eminent-Domain_11376_11484,train,2.8,2.7,2.9,"sorry, I keep forgetting the Fermentation site's html protocol; here is the OIVV label guideline link again:","sorry, I keep forgetting the Fermentation sites html protocol here is the OIVV label guideline link again"
Fermentation_Eminent-Domain_11613_11628,dev,2.88,2.88,2.88,El Jefe said...,El Jefe said
Fermentation_Eminent-Domain_11629_12005,train,3.0,2.9,3.0,"OK, so here's the real requirement: ""Any wine labeled with an American Viticultural Area established yada yada, that is located entirely within yada yada, shall bear the designation ""Sonoma County"" on the label in a type size not smaller than two millimeters on containers of more than 187 milliliters or smaller than one millimeter on containers of 187 milliliters or less.","OK, so heres the real requirement Any wine labeled with an American Viticultural Area established yada yada, that is located entirely within yada yada, shall bear the designation Sonoma County on the label in a type size not smaller than two millimeters on containers of more than 187 milliliters or smaller than one millimeter on containers of 187 milliliters or less."
Fermentation_Eminent-Domain_12009_12120,train,2.9,2.7,3.0,"If I recall correctly, this is almost exactly the same as the requirement for the government warning type size.","If I recall correctly, this is almost exactly the same as the requirement for the government warning type size."
Fermentation_Eminent-Domain_12123_12214,train,2.66,2.89,3.0,"So the answer seems pretty clear to me: just add ""Sonoma County"" to the government warning.",So the answer seems pretty clear to me just add Sonoma County to the government warning.
Fermentation_Eminent-Domain_12251_12269,train,3.0,2.88,3.12,Johnonwine said...,[NAME] said
Fermentation_Eminent-Domain_12271_12389,dev,3.0,2.78,3.0,"They [Honore Comfort and the Sonoma County Vintners] point to the prestige that the ""Napa Valley"" designation carries.",They Honore Comfort and the Sonoma County Vintners point to the prestige that the Napa Valley designation carries.
Fermentation_Eminent-Domain_12390_12529,dev,2.9,2.6,3.5,"But this prestige has nothing to due with the law that demands ""Napa Valley"", in addition to simply ""Rutherford"", be placed on these wines.","But this prestige has nothing to due with the law that demands Napa Valley, in addition to simply [NAME], be placed on these wines."
Fermentation_Eminent-Domain_12530_12656,train,3.2,2.9,3.2,"It has to do entirely with the promotional effort that has gone into making ""Napa Valley"" a place associated with great wines.",It has to do entirely with the promotional effort that has gone into making Napa Valley a place associated with great wines.
Fermentation_Eminent-Domain_12659_12731,train,2.75,3.0,3.38,"Such an association will not be made with ""Sonoma County"" wines...ever.",Such an association will not be made with Sonoma County winesever.
Fermentation_Eminent-Domain_12733_12922,train,3.1,3.0,3.0,"Tom, I would suggest that all Napa wineries, good and bad, benefit from having Napa Valley on the label; it is indeed a great example of marketing - what you describe as promotional effort.","[NAME], I would suggest that all Napa wineries, good and bad, benefit from having Napa Valley on the label it is indeed a great example of marketing  what you describe as promotional effort."
Fermentation_Eminent-Domain_1311_1383,train,2.6,3.0,2.9,"County, consumers learn absolutely nothing about the wine in the bottle.","County, consumers learn absolutely nothing about the wine in the bottle."
Fermentation_Eminent-Domain_13150_13302,test,3.6,3.3,3.3,"Sonoma County, with roughly half of the wineries of Napa County, wins roughly twice as many gold medals in national and international wine competitions.","Sonoma County, with roughly half of the wineries of Napa County, wins roughly twice as many gold medals in national and international wine competitions."
Fermentation_Eminent-Domain_13303_13449,train,3.2,3.0,3.2,"That, the fact that their wines cost less on average, and the wineries are friendlier, less snooty is a compelling story to get out to the public.","That, the fact that their wines cost less on average, and the wineries are friendlier, less snooty is a compelling story to get out to the public."
Fermentation_Eminent-Domain_13452_13557,train,2.9,2.8,3.0,"Heck, if folks knew all that, maybe folks would be seeking out bottles with ""Sonoma County"" on the label.","Heck, if folks knew all that, maybe folks would be seeking out bottles with Sonoma County on the label."
Fermentation_Eminent-Domain_13560_13689,train,2.5,2.75,2.75,"You suggest that this is a bad law, that Sonoma County will never be associated with high quality wine in the way Napa County is.","You suggest that this is a bad law, that Sonoma County will never be associated with high quality wine in the way Napa County is."
Fermentation_Eminent-Domain_13690_13882,test,3.12,3.12,3.0,"I disagree, but I am eternally hopeful, optimistic that the Sonoma County Vintners will inject a little passion and not more of the same old staid and boring in their marketing communications.","I disagree, but I am eternally hopeful, optimistic that the Sonoma County Vintners will inject a little passion and not more of the same old staid and boring in their marketing communications."
Fermentation_Eminent-Domain_1384_1752,train,2.9,3.1,3.2,"There no evidence that grapes grown in ""Sonoma County"" have any single distinguishing feature derived from the fact that they were grown inside the borders of Sonoma County. Assemblywoman Evans concludes, ""By improving consumer education on each bottle, conjunctive labeling will unleash the full potential of our delicious wines to represent Sonoma around the world.","There no evidence that grapes grown in Sonoma County have any single distinguishing feature derived from the fact that they were grown inside the borders of Sonoma County. [NAME] concludes, By improving consumer education on each bottle, conjunctive labeling will unleash the full potential of our delicious wines to represent Sonoma around the world."
Fermentation_Eminent-Domain_13883_13970,train,3.7,3.3,3.3,"I have confidence they will change, retool, improve, live up to their responsibilities.","I have confidence they will change, retool, improve, live up to their responsibilities."
Fermentation_Eminent-Domain_13973_14063,train,3.5,3.0,3.2,"I worked selling and marketing Sonoma County wines, I won awards for my marketing efforts.","I worked selling and marketing Sonoma County wines, I won awards for my marketing efforts."
Fermentation_Eminent-Domain_14064_14084,train,3.11,2.44,2.89,The story is simple.,The story is simple.
Fermentation_Eminent-Domain_14085_14112,train,3.25,2.75,3.12,People are receptive to it.,People are receptive to it.
Fermentation_Eminent-Domain_14113_14162,train,3.83,3.0,3.17,Selling the magic of Sonoma County wines is easy.,Selling the magic of Sonoma County wines is easy.
Fermentation_Eminent-Domain_14165_14315,train,2.8,3.0,3.4,"That's my take anyway, I don't aim to be contrarian, but I don't mind being the sole supporter of the law - as a Sonoma County born and bred wine guy.","Thats my take anyway, I dont aim to be contrarian, but I dont mind being the sole supporter of the law  as a Sonoma County born and bred wine guy."
Fermentation_Eminent-Domain_1754_1768,train,3.2,3.3,3.2,She's correct.,Shes correct.
Fermentation_Eminent-Domain_1769_2026,train,2.9,2.5,3.1,"Beginning in 2014, ""Sonoma County"" will receive a tremendous boost in recognition due to the conjunctive labeling law that forces vintners to add more wording to their labels—whether they think the words ""Sonoma County"" help or hurt their marketing efforts.","Beginning in 2014, Sonoma County will receive a tremendous boost in recognition due to the conjunctive labeling law that forces vintners to add more wording to their labelswhether they think the words Sonoma County help or hurt their marketing efforts."
Fermentation_Eminent-Domain_2027_2412,train,2.4,3.6,2.8,"Frankly, if I was making high end wine from the ""Sonoma Valley"", ""Sonoma Mountain"" or ""Sonoma Coast"" AVAs that depended in part on the quality recognition that comes wtih these AVAs, I'd be pissed that I'm forced now to put a place-name on my label that told my buyers nothing of real value about the wine behind my label and, in some cases, demonstrably lowered its perceived quality.","Frankly, if I was making high end wine from the Sonoma Valley, Sonoma Mountain or Sonoma Coast AVAs that depended in part on the quality recognition that comes wtih these AVAs, Id be pissed that Im forced now to put a placename on my label that told my buyers nothing of real value about the wine behind my label and, in some cases, demonstrably lowered its perceived quality."
Fermentation_Eminent-Domain_2413_2562,test,3.11,2.78,3.11,"Honore Comfort, Executive Director of the Sonoma County Vintners Association and an outstanding representative for Sonoma County wines noted this: "".","Honore Comfort, Executive Director of the Sonoma County Vintners Association and an outstanding representative for Sonoma County wines noted this ."
Fermentation_Eminent-Domain_2563_2658,train,3.3,3.2,3.1,"""This moment ...marks the beginning of a stronger Sonoma County brand for generations to come.""",This moment marks the beginning of a stronger Sonoma County brand for generations to come.
Fermentation_Eminent-Domain_2659_2897,train,3.0,2.6,3.0,"Proponents of the new Sonoma County Conjunctive labeling law like to point to a similar law that demands ""Napa Valley"" be placed on all wines that are made from grapes grown in that appellation, rather than simply using a sub appellation.","Proponents of the new Sonoma County Conjunctive labeling law like to point to a similar law that demands Napa Valley be placed on all wines that are made from grapes grown in that appellation, rather than simply using a sub appellation."
Fermentation_Eminent-Domain_2898_2968,test,3.12,2.87,3.12,"They point to the prestige that the ""Napa Valley"" designation carries.",They point to the prestige that the Napa Valley designation carries.
Fermentation_Eminent-Domain_2969_3108,train,2.82,3.18,2.82,"But this prestige has nothing to due with the law that demands ""Napa Valley"", in addition to simply ""Rutherford"", be placed on these wines.","But this prestige has nothing to due with the law that demands Napa Valley, in addition to simply [NAME], be placed on these wines."
Fermentation_Eminent-Domain_3109_3235,train,3.1,3.0,3.1,"It has to do entirely with the promotional effort that has gone into making ""Napa Valley"" a place associated with great wines.",It has to do entirely with the promotional effort that has gone into making Napa Valley a place associated with great wines.
Fermentation_Eminent-Domain_3308_3492,test,3.0,3.0,3.0,"The vintners in Sonoma County simply can't make a case for ""Sonoma County"" having any meaning or for a region as vast as ""Sonoma County"" delivering any degree of quality to the grapes.",The vintners in Sonoma County simply cant make a case for Sonoma County having any meaning or for a region as vast as Sonoma County delivering any degree of quality to the grapes.
Fermentation_Eminent-Domain_348_547,train,2.8,3.1,3.1,"Pushed as an effort to promote ""Sonoma County"" wines and a consumer education effort, the new law instead forces vintners to needlessly sully their package and undermines their own marketing efforts.","Pushed as an effort to promote Sonoma County wines and a consumer education effort, the new law instead forces vintners to needlessly sully their package and undermines their own marketing efforts."
Fermentation_Eminent-Domain_3493_3762,train,2.88,3.12,3.25,"Why is it important for someone making ""Sonoma Coast Pinot Noir"" or ""Sonoma Valley Zinfandel"" to help promote ""Sonoma County"", a designation that has no ability to define the quality or character of the wines in my Sonoma Coast Pinot Noir or my Sonoma Valley Zinfandel?","Why is it important for someone making Sonoma Coast Pinot Noir or Sonoma Valley Zinfandel to help promote Sonoma County, a designation that has no ability to define the quality or character of the wines in my Sonoma Coast Pinot Noir or my Sonoma Valley Zinfandel?"
Fermentation_Eminent-Domain_3763_3960,train,3.0,2.9,2.9,"This is an example of a County usurping the private label real estate, and it's very valuable real estate, for the sake of promoting something that is of little use to private commercial interests.","This is an example of a County usurping the private label real estate, and its very valuable real estate, for the sake of promoting something that is of little use to private commercial interests."
Fermentation_Eminent-Domain_3961_4213,train,3.1,3.1,3.4,"Ask yourself...If putting the words ""Sonoma County"" on one's wines was such a great thing, why don't more vintners who make ""Dry Creek Valley"", ""Russian River Valley"", ""Alexander Valley"" or ""Sonoma Valley"" wines already put these words on their label?","Ask yourselfIf putting the words Sonoma County on ones wines was such a great thing, why dont more vintners who make Dry Creek Valley, Russian River Valley, Alexander Valley or Sonoma Valley wines already put these words on their label?"
Fermentation_Eminent-Domain_4213_4252,train,3.0,2.83,3.33,They legally could...if they wanted to.,They legally couldif they wanted to.
Fermentation_Eminent-Domain_4254_4436,train,2.5,3.3,2.9,The new Sonoma County conjunctive labeling law is the equivalent of the State of California and the County of Sonoma claiming imminent domain over the labels of hundreds of vintners.,The new Sonoma County conjunctive labeling law is the equivalent of the State of California and the County of Sonoma claiming imminent domain over the labels of hundreds of vintners.
Fermentation_Eminent-Domain_42_93,train,2.6,3.1,3.0,Eminent Domain Used To Usurp Wine Label Real Estate,Eminent Domain Used To Usurp Wine Label Real Estate
Fermentation_Eminent-Domain_4441_4449,train,3.0,2.5,3.0,Comments,Comments
Fermentation_Eminent-Domain_4452_4472,train,3.0,2.8,3.3,Nick Perdiew said...,Nick Perdiew said
Fermentation_Eminent-Domain_4473_4487,train,4.11,3.78,3.22,I love it Tom.,I love it [NAME].
Fermentation_Eminent-Domain_4488_4526,train,3.6,3.4,3.3,You found a way to tie this in nicely.,You found a way to tie this in nicely.
Fermentation_Eminent-Domain_4527_4654,train,2.8,3.0,3.1,"This is a case of over-reaching government regulation, costing business unnecessarily and burdening them with more regulations.","This is a case of overreaching government regulation, costing business unnecessarily and burdening them with more regulations."
Fermentation_Eminent-Domain_4655_4677,train,2.5,3.12,3.25,It's just unnecessary.,Its just unnecessary.
Fermentation_Eminent-Domain_4679_4858,test,3.1,3.2,3.3,"It also is a 'social promotion' in the sense that great Sonoma wines that now are forced to use ""Sonoma County"" will be giving some of their credibility to their lesser neighbors.",It also is a social promotion in the sense that great Sonoma wines that now are forced to use Sonoma County will be giving some of their credibility to their lesser neighbors.
Fermentation_Eminent-Domain_4859_4899,train,3.1,2.9,3.0,Shades of wealth redistribution as well.,Shades of wealth redistribution as well.
Fermentation_Eminent-Domain_4904_4915,train,1.8,3.5,3.1,"Ew, ew, ew.","Ew, ew, ew."
Fermentation_Eminent-Domain_4949_4969,train,3.1,2.6,3.1,James McCann said...,[NAME] said
Fermentation_Eminent-Domain_4970_5072,train,3.0,2.9,3.1,How many hundreds or thousands of labels will have to be re-submitted to the TTB between now and 2014?,How many hundreds or thousands of labels will have to be resubmitted to the TTB between now and 2014?
Fermentation_Eminent-Domain_5106_5124,dev,3.0,2.8,2.9,John Kelly said...,[NAME] said
Fermentation_Eminent-Domain_5129_5331,train,2.4,3.7,3.2,"I'd be pissed that I'm forced now to put a place-name on my label that told my buyers nothing of real value about the wine behind my label and, in some cases, demonstrably lowered its perceived quality.","Id be pissed that Im forced now to put a placename on my label that told my buyers nothing of real value about the wine behind my label and, in some cases, demonstrably lowered its perceived quality."
Fermentation_Eminent-Domain_5335_5348,train,3.12,3.0,3.5,"Exactly, Tom.","Exactly, [NAME]."
Fermentation_Eminent-Domain_5349_5372,train,1.8,4.0,4.0,And I am really pissed.,And I am really pissed.
Fermentation_Eminent-Domain_5373_5437,dev,2.8,2.9,3.0,And so is every other producer I have discussed this issue with.,And so is every other producer I have discussed this issue with.
Fermentation_Eminent-Domain_5438_5532,train,2.2,3.4,3.1,I still don't know whose interests are being served by this useless piece of crap legislation.,I still dont know whose interests are being served by this useless piece of crap legislation.
Fermentation_Eminent-Domain_548_595,train,2.4,3.0,3.0,"Yet, the law does nothing to educate consumers.","Yet, the law does nothing to educate consumers."
Fermentation_Eminent-Domain_5533_5650,test,2.8,3.0,3.4,"I completely agree with you when you state: ""Such an association will not be made with 'Sonoma County' wines...ever.""",I completely agree with you when you state Such an association will not be made with Sonoma County winesever.
Fermentation_Eminent-Domain_5651_5655,train,2.6,2.8,3.2,Duh.,Duh.
Fermentation_Eminent-Domain_5658_5690,train,3.27,3.18,3.27,I've got real skin in this game.,Ive got real skin in this game.
Fermentation_Eminent-Domain_5691_5859,train,2.6,3.1,3.0,"We are going to have to totally redesign our front label to make room for ""Sonoma County"" - and so far every mock-up is cluttered and decreases the impact of our brand.",We are going to have to totally redesign our front label to make room for Sonoma County  and so far every mockup is cluttered and decreases the impact of our brand.
Fermentation_Eminent-Domain_5862_6047,train,3.1,2.6,3.1,"Our best option looks like we will go to ""North Coast"" or ""California"" for our front label appellation, and discuss the grape source, vineyard name and meaningful AVA on the back label.","Our best option looks like we will go to North Coast or California for our front label appellation, and discuss the grape source, vineyard name and meaningful AVA on the back label."
Fermentation_Eminent-Domain_596_731,train,3.0,3.0,3.2,"Passed unanimously out of the California Assembly and Senate, AB 1798 now awaits the Governor's signature, which it will surely obtain.","Passed unanimously out of the California Assembly and Senate, AB 1798 now awaits the Governors signature, which it will surely obtain."
Fermentation_Eminent-Domain_5_38,train,3.0,2.7,3.0,Fermentation: The Daily Wine Blog,Fermentation The Daily Wine Blog
Fermentation_Eminent-Domain_6050_6089,train,2.5,3.3,2.7,Who is going to compensate me for this?,Who is going to compensate me for this?
Fermentation_Eminent-Domain_6090_6159,train,3.1,2.8,2.9,"I estimate the value to be in six figures, and we are a small winery.","I estimate the value to be in six figures, and we are a small winery."
Fermentation_Eminent-Domain_6160_6237,train,3.2,3.1,3.2,For a larger winery with a better-established brand the value is much higher.,For a larger winery with a betterestablished brand the value is much higher.
Fermentation_Eminent-Domain_6240_6321,train,2.62,3.25,3.25,"Eminent domain is exactly right - this is nothing less than governmental ""taking.",Eminent domain is exactly right  this is nothing less than governmental taking.
Fermentation_Eminent-Domain_6323_6373,train,2.57,3.43,3.43,The legislators who backed this should be ashamed.,The legislators who backed this should be ashamed.
Fermentation_Eminent-Domain_6471_6492,train,3.0,2.6,3.0,Hardy Wallace said...,[NAME] said
Fermentation_Eminent-Domain_6493_6526,train,2.91,3.36,2.54,Thanks Tom-- This law is such BS.,Thanks [NAME] This law is such BS.
Fermentation_Eminent-Domain_6560_6580,train,3.0,3.0,3.0,JohnLopresti said...,JohnLopresti said
Fermentation_Eminent-Domain_6581_6659,train,3.1,2.8,3.0,"I put in 1+ decades in trade coursework, and several branches of the industry.","I put in 1 decades in trade coursework, and several branches of the industry."
Fermentation_Eminent-Domain_6660_6699,train,3.33,3.0,3.44,I support the new labeling requirement.,I support the new labeling requirement.
